name,prompt,negative_prompt
Style: Christo and Jeanne-Claude\克里斯托和珍妮-克劳德,Christo and Jeanne-Claude style {prompt} . Installation," environmental, fabric, temporal, Still Life, indoor, metal, permanent"
Style: Wayne Thiebaud\韦恩·蒂博,Wayne Thiebaud style {prompt} . Pop Art," still life, pastel, thick paint, Cubism, dynamic scenes, vibrant, thin paint"
Style: Maurice Sendak\莫里斯·桑达克,Maurice Sendak style {prompt} . Children's illustration," fantasy, detailed, narrative, Abstract, adult, minimalist, non-narrative"
______Advanced GPT Photography______高级 GPT 摄影,,
Portrait Photography Style: Charismatic人像摄影\魅力型,"{prompt} with charisma. 50mm lens, f/2.8, focused on eyes, natural lighting","overexposed, underexposed, blurry, distorted, overprocessed"
Portrait Photography Style: Cinematic人像摄影\电影,"cinematic portrait of {prompt}. 85mm lens, f/1.8, dramatic side lighting, moody atmosphere","overblown highlights, noisy, grainy, oversaturated, wide-angle distortion"
Portrait Photography Style: Environmental人像摄影\环境,"environmental portrait of {prompt}. 35mm lens, f/4, wider context, natural surroundings","cluttered background, poor lighting, overexposed, underexposed, unsharp"
Photojournalism Style: Reportage新闻摄影\报告文学,"gripping reportage of {prompt}. Wide-angle lens, f/8, focus on action, capture the moment","blurred action, low light noise, unsteady shot, out of focus, distorted perspective"
Photojournalism Style: Candid新闻摄影\坦率,"candid shot of {prompt}. 50mm lens, f/2.8, spontaneous, unposed","poor lighting, motion blur, out of focus, distracting background, overprocessed"
Photojournalism Style: Documentary新闻摄影\ 纪录片,"documentary style of {prompt}. 35mm lens, f/5.6, truthful representation, neutral perspective","overexposed, underexposed, oversaturated, motion blur, unsteady shot"
Fashion Photography Style: Haute Couture时尚摄影\高级时装,"haute couture display of {prompt}. 85mm lens, f/2.2, vibrant colors, dramatic lighting","flat lighting, out of focus, distracting background, overprocessed, oversaturated"
Fashion Photography Style: Editorial时尚摄影\社论,"editorial fashion shot of {prompt}. 50mm lens, f/2.5, storytelling, focused on outfit","unflattering pose, poor lighting, blurry, distracting elements, overexposed"
Fashion Photography Style: Catalog时尚摄影\目录,"catalog shot of {prompt}. 70mm lens, f/5.6, neutral background, clear focus on attire","poor lighting, unflattering angles, distorted perspective, underexposed, oversaturated"
Sports Photography Style: Action-packed体育摄影\动感十足,"action-packed shot of {prompt}. 200mm lens, f/2.8, high shutter speed, capture the peak moment","motion blur, underexposed, out of focus, distracting background, unsteady shot"
Sports Photography Style: Emotional体育摄影\情感,"emotional moment in {prompt}. 135mm lens, f/4, capture expressions, ambient lighting","poor focus, high ISO noise, unsteady shot, underexposed, distorted colors"
Sports Photography Style: Narrative体育摄影\叙事,"narrative image of {prompt}. 50mm lens, f/3.5, storytelling, context setting","unfocused, poor lighting, cluttered composition, overexposed, distorted perspective"
Still Life Photography Style: Minimalistic静物摄影\简约,"minimalistic composition of {prompt}. 50mm lens, f/5.6, simplistic design, neutral colors","cluttered, oversaturated, unbalanced composition, poor lighting, overexposed"
Still Life Photography Style: Dramatic静物摄影\戏剧性,"dramatic still life of {prompt}. 85mm lens, f/2.2, dramatic lighting, intense colors","flat lighting, blurry, underexposed, distracting elements, oversaturated"
Still Life Photography Style: Rustic静物摄影\质朴,"rustic presentation of {prompt}. 35mm lens, f/4, natural elements, warm tones","poor focus, overexposed, cluttered, cold colors, unbalanced composition"
Editorial Photography Style: Investigative社论摄影\调查性,"investigative shot of {prompt}. 24mm lens, f/4, informative, intriguing","blurry, underexposed, distorted perspective, high ISO noise, distracting elements"
Editorial Photography Style: Lifestyle社论摄影\生活方式,"lifestyle capture of {prompt}. 50mm lens, f/2.8, candid, vibrant colors","poor lighting, overprocessed, distracting background, motion blur, unsteady shot"
Editorial Photography Style: Opinion社论摄影\意见,"opinion image of {prompt}. 35mm lens, f/5.6, emotive, storytelling","poor focus, underexposed, cluttered composition, overexposed highlights, distorted colors"
Architectural Photography Style: Historical建筑摄影\历史,"historical capture of {prompt}. 24mm lens, f/8, capture architectural details, natural lighting","distorted perspective, underexposed, overprocessed, unsharp, oversaturated"
Architectural Photography Style: Modernist建筑摄影\现代主义,"modernist view of {prompt}. 18mm lens, f/4, minimalistic, strong lines","barrel distortion, overexposed, blurry, poor composition, flat colors"
Architectural Photography Style: Surreal建筑摄影\超现实,"surreal perspective of {prompt}. Fisheye lens, f/2.8, abstract interpretation, vibrant colors","unfocused, poor lighting, underexposed, overprocessed, distracting elements"
______GPT Painting Styles______GPT 绘画风格,,
Style: Abstract Expressionism\抽象表现主义,"Abstract Expressionist style of {prompt} . bold colors, vigorous brushwork, non-representational, spontaneous, expressive, emotional,boring"," monotone, plain, still, unemotional, realistic, photographic"
Style: Surrealism\超现实主义,"surrealistic {prompt} . dreamlike, subconscious, bizarre, highly detailed, intricate, imaginative, illogical juxtaposition,clear"," realistic, boring, typical, straightforward, concrete, photographic"
Style: Cubism\立体主义,"cubist interpretation of {prompt} . geometric forms, multi-perspective, abstract, fragmented, complex,rounded"," realistic, photographic, simple, straightforward, traditional"
Style: Impressionism\印象派,"impressionist take on {prompt} . loose brushwork, light color, emphasis on light and movement, emotive, painterly,tight"," photographic, dark, stationary, unemotional, sharp, digital"
Style: Street Art\街头艺术,"street art version of {prompt} . urban, graffiti, spray paint, vibrant, bold, rough, rebellious,elegant"," refined, traditional, delicate, soft, photorealistic"
Style: Charcoal\木炭,"charcoal sketch of {prompt} . dark, grainy, high contrast, loose, dramatic,light"," smooth, precise, colorful, clean, photographic"
Style: Graffiti\涂鸦,"graffiti style {prompt} . street art, bold, colorful, vibrant, dynamic, urban, rebellious, intricate,refined"," subtle, soft, elegant, traditional, photorealistic"
Style: Trompe L'oeil\ 错视画,"trompe l'oeil of {prompt} . hyperrealistic, 3d illusion, detailed, deceptive, intricate,abstract"," flat, simple, symbolic, unrealistic, distorted"
Style: Fauvism\野兽派,"fauvist interpretation of {prompt} . wild brushwork, vibrant color, expressive, bold, emotive, painterly,neutral"," precise, calm, realistic, photographic, subdued"
Style: Op Art\欧普艺术,"op art style {prompt} . optical illusion, geometric, vibrant, dynamic, detailed, bold,soft"," organic, loose, subdued, simple, unpatterned"
Style: Scratchboard\刮板,"scratchboard technique on {prompt} . contrast, engraved, black and white, detailed, dramatic,colorful"," soft, loose, blended, photorealistic"
Style: Botanical Illustration\植物插图,"botanical illustration of {prompt} . detailed, accurate, precise, delicate, naturalistic,abstract"," loose, imprecise, bold, exaggerated, symbolic"
Style: Lithography\平版印刷,"lithograph of {prompt} . printmaking, smooth, detailed, bold, graphic,rough"," textured, loose, brushy, three dimensional"
Style: Woodcut\木刻,"woodcut style {prompt} . carved, bold lines, high contrast, rustic, handmade,smooth"," soft, delicate, digital, photorealistic"
Style: Stencil Art\模板艺术,"stencil art of {prompt} . sharp edges, bold, graphic, street art style, vibrant,soft"," loose, organic, brushy, traditional"
Style: Rotoscoping\动态描画,"rotoscoped {prompt} . traced, animation style, smooth, realistic, detailed,abstract"," symbolic, rough, loose, blocky"
Style: Glass Painting\玻璃画,"glass painting of {prompt} . translucent, vibrant, decorative, intricate, glossy,matte"," dull, loose, rough, opaque"
Style: Hard Edge Painting\硬边喷漆,"hard edge painting of {prompt} . geometric, sharp edges, flat color, modern, bold,soft"," organic, loose, textured, detailed, photorealistic"
Style: Drybrush\干刷,"drybrush technique on {prompt} . rough texture, loose brushwork, subtle detail, expressive, painterly,smooth"," precise, clean, detailed, photorealistic"
Style: Plein Air\ 户外,"plein air painting of {prompt} . outdoor, natural light, vibrant, loose, expressive,studio"," artificial, precise, tight, clean, photorealistic"
Style: Ink Wash\水墨,"ink wash painting of {prompt} . monochromatic, loose, fluid, expressive, delicate,colorful"," tight, dry, bold, detailed, photorealistic"
Style: Body Painting\人体彩绘,"body painting of {prompt} . human canvas, vibrant, detailed, transformative, expressive,traditional canvas"," subtle, clean, realistic, monochromatic"
Style: Spray Paint\喷漆,"spray paint art of {prompt} . street style, vibrant, spontaneous, bold, rough,refined"," soft, delicate, precise, clean, photorealistic"
Style: Grisaille\灰色画,"grisaille painting of {prompt} . monochromatic, detailed, realistic, refined, tonal,colorful"," abstract, loose, impressionistic, simple"
Style: Stippling\点画,"stippled technique on {prompt} . dotted, texture, detailed, graphic, intricate,smooth"," solid, loose, brushy, blended"
Style: Pastel\粉彩,"pastel drawing of {prompt} . soft, colorful, delicate, expressive, textured,sharp"," bold, clean, precise, digital"
Style: Encaustic\ 蜡画,"encaustic painting of {prompt} . wax, textured, layered, luminous, rich,flat"," smooth, simple, clean, dry, photorealistic"
Style: Macrame\花边,"macrame style {prompt} . knotted, textile, intricate, handmade, decorative,smooth"," flat, hard, precise, digital"
Style: Graffiti Stencil\涂鸦模板,"graffiti stencil art of {prompt} . urban, bold, vibrant, street style, graphic,elegant"," refined, soft, traditional, photorealistic"
Style: Action Painting\动作绘画,"action painting of {prompt} . spontaneous, energetic, abstract, expressive, bold,precise"," slow, realistic, photographic, unemotional"
Style: Folk Art\民间艺术,"folk art depiction of {prompt} . traditional, handmade, decorative, vibrant, detailed,modern"," digital, simple, clean, minimalistic"
Style: Glitch Art\故障艺术,"glitch art of {prompt} . distorted, digital, vibrant, abstract, modern,refined"," traditional, realistic, photographic, unaltered"
Style: Gouache\水粉,"gouache painting of {prompt} . vibrant, opaque, smooth, rich, detailed,transparent"," loose, rough, dull, photorealistic"
______GPT Instagram Styles______GPT Instagram 风格,,
Style: High-Fashion\ 高级时尚,{prompt} in haute couture. Luxury," designer brands, runway-ready, tailored, chic, casual, sporty, laid-back, street style, loose"
Style: Casual-Chic\休闲别致,{prompt} in a casual chic outfit. Comfortable," stylish, modern, accessible, formal, high fashion, flamboyant, extravagant"
Style: Streetwear\街头服饰,{prompt} rocking the streetwear trend. Urban," hip-hop influence, sneakers, caps, oversized, preppy, conservative, formal, traditional"
Style: Athletic\运动,athletic shot of {prompt}. Sportswear," action, energy, strength, leisure, inactive, weak, non-sporty"
Style: Vintage\复古,vintage style photo of {prompt}. Retro," nostalgic, old-fashioned, timeless, modern, futuristic, trendy, transient"
Style: Bohemian\波西米亚风格,{prompt} in boho fashion. Free-spirited," layered, patterns, ethnic-inspired, fringe, minimalist, structured, monochromatic, sleek"
Style: Preppy\ 学院风,{prompt} dressed in preppy style. Collegiate," clean-cut, conservative, layered, gothic, punk, casual, relaxed"
Style: Punk\朋克,{prompt} with a punk look. Rebellious," grungy, band tees, ripped denim, preppy, classic, conservative, formal"
Style: Grunge\垃圾摇滚,{prompt} sporting a grunge look. '90s influence," flannel, band tees, distressed, preppy, glamorous, feminine, tailored"
Style: Glamorous\迷人,{prompt} looking glamorous. Luxury," sequins, fur, red carpet ready, casual, relaxed, sporty, minimalist"
Style: Rocker\摇杆,{prompt} rocking the rock style. Leather," band tees, edgy, black, preppy, pastel, boho, cute"
Style: Hipster\潮人,{prompt} in a hipster outfit. Eclectic," indie, non-mainstream, vintage, mainstream, sporty, glamorous, preppy"
Style: Ethical\道德,{prompt} wearing ethical fashion. Sustainable," fair trade, organic materials, eco-friendly, fast fashion, synthetic, mass-produced, cheap"
Style: Business Casual\商务休闲,{prompt} dressed in business casual. Semi-formal," tailored, smart, professional, sporty, casual, grunge, punk"
Style: Beachwear\沙滩装,{prompt} in beachwear. Bikinis," cover-ups, sandals, straw hats, light fabrics, winter wear, formal, business, structured"
Style: Activewear\运动装,{prompt} in stylish activewear. Sporty," comfortable, functional, athleisure, evening wear, formal, preppy, boho"
Style: Country\乡村,{prompt} sporting country style. Western," cowboy boots, plaid, denim, gothic, punk, high fashion, glamorous"
Style: Military\军装,{prompt} wearing military-inspired fashion. Camouflage," khaki, structured, badges, boho, glamorous, preppy, beachwear"
Style: Kawaii\卡哇伊,{prompt} in Kawaii style. Cute," pastel, girly, anime-inspired, frilly, gothic, punk, grunge, minimalist"
Style: Lolita\洛丽塔,{prompt} in a Lolita ensemble. Victorian-inspired," frilly, bows, lace, layered, minimalist, sporty, casual, business"
Style: Formal\正式,{prompt} dressed in formal wear. Black tie," tuxedo, evening gown, polished, casual, sporty, grunge, beachwear"
Style: Tomboy\假小子,{prompt} rocking a tomboy look. Androgynous," loose, sneakers, caps, glamorous, feminine, boho, preppy"
Style: Normcore\Normcore,{prompt} dressed in normcore. Unpretentious," casual, basics, comfortable, high fashion, glamorous, punk, gothic"
Style: Artistic\艺术,{prompt} in an artistic outfit. Creative," unique, expressive, handmade, preppy, conservative, business, traditional"
Style: Genderless\无性别,{prompt} in genderless fashion. Androgynous," neutral, modern, unisex, feminine, masculine, glam, preppy"
Style: Monochromatic\单色,{prompt} in a monochromatic look. Single color," sleek, modern, minimalist, colorful, vibrant, patterned, boho"
Style: Mod\现代,{prompt} dressed in Mod style. '60s influence," A-line, geometric patterns, bold, boho, grunge, minimalist, normcore"
Style: Harajuku\原宿,{prompt} in Harajuku style. Japanese street fashion," eclectic, colorful, anime, conservative, preppy, minimalist, business"
Style: Cyberpunk\赛博朋克,{prompt} in a cyberpunk outfit. Futuristic," dystopian, metallic, neon, vintage, retro, classic, boho"
Style: Rave\狂欢,{prompt} in rave wear. Bright colors," neon, sequins, fur, business casual, preppy, conservative, minimalist"
Style: Hippy\嬉皮士,{prompt} in hippy style. '70s influence," tie-dye, bell-bottoms, fringe, preppy, conservative, formal, modern"
Style: Skater\溜冰者,{prompt} rocking skater style. Casual," sneakers, baggy, sporty, laid-back, formal, glamorous, high fashion, preppy"
Style: Pin-Up\海报女郎,pin-up style photo of {prompt}. Retro," feminine, seductive, fun, modern, conservative, modest, non-vintage"
Style: Nautical\航海,{prompt} in a nautical outfit. Sailor-inspired," stripes, navy, white, red, gothic, punk, grunge, boho"
Style: Eccentric\ 古怪,{prompt} in an eccentric ensemble. Unique," quirky, stand-out, individualistic, traditional, classic, conservative, minimalist"
Style: Tailored\量身定制,{prompt} in a tailored suit. Formal," professional, sleek, well-fitted, casual, relaxed, oversized, loose"
Style: Sustainable\可持续,{prompt} in sustainable fashion. Eco-friendly," organic, recycled materials, fair trade, fast fashion, synthetic, cheap, disposable"
Style: Traditional\传统,{prompt} in a traditional outfit. Ethnic," regional, cultural, heritage, modern, futuristic, western, mainstream"
Style: Candid\坦率,{prompt} captured in a candid moment. Unposed," natural, spontaneous, real-life situation, posed, artificial, studio shot, planned"
Style: Portrait\肖像,portrait shot of {prompt}. Close-up," eyes on camera, clear, sharp, wide shot, landscape, blurred, candid"
Style: Lifestyle\ 生活方式,lifestyle photo of {prompt}. Everyday activities," real-life situations, relatable, fantasy, staged, surreal, unrealistic"
Style: Editorial\社论,editorial shot of {prompt}. Fashion-forward," styled, professional, magazine-ready, casual, candid, unstyled, amateur"
Style: Glamour\魅力,glamour shot of {prompt}. Beauty focused," make-up, lighting, seductive, natural, minimal, candid, unglamorous"
Style: Fitness\健身,fitness photo of {prompt}. Athletic," workout gear, active, strong, laid back, casual, non-athletic, inactive"
Style: Boudoir\闺房,boudoir shot of {prompt}. Intimate," sensual, classy, tasteful, public, conservative, modest, non-intimate"
Style: Maternity\孕妇装,maternity shot of {prompt}. Pregnancy," baby bump, motherhood, glowing, non-pregnant, childless, pre-pregnancy, post-pregnancy"
Style: Black and White\黑白,black and white photo of {prompt}. Monochrome," timeless, artistic, dramatic, color, vibrant, modern, digital"
Style: Headshot\爆头,headshot of {prompt}. Professional," clear, neutral background, focused, full body, casual, distracting background, unfocused"
Style: Full Body\全身,full body shot of {prompt}. Whole outfit," clear, sharp, balanced, close up, cropped, blurry, unbalanced"
Style: High Fashion\ 高级时尚,high fashion photo of {prompt}. Designer clothes," dramatic poses, avant-garde, casual, candid, natural, mainstream fashion"
Style: Business\商务,business photo of {prompt}. Professional attire," workplace setting, confident, casual, relaxed, non-work, insecure"
Style: Beach\海滩,beach photo of {prompt}. Swimwear," sand, ocean, relaxed, urban, winter, formal, stressed"
Style: Lingerie\内衣,lingerie shot of {prompt}. Intimate apparel," sensual, feminine, seductive, outerwear, modest, masculine, non-sensual"
Style: Close-up\特写,close-up photo of {prompt}. Detailed," intimate, clear, personal, wide shot, distant, blurry, impersonal"
Style: Nature\自然,nature shot with {prompt}. Outdoors," greenery, natural light, fresh, indoor, city, artificial light, stale"
Style: Studio\工作室,studio shot of {prompt}. Controlled lighting," plain background, clear, outdoor, natural light, busy background, unclear"
Style: Street\街头,street shot of {prompt}. Urban," casual, candid, trendy, rural, formal, posed, traditional"
Style: Dance\舞蹈,dance photo of {prompt}. Movement," grace, energy, rhythm, static, clumsy, lethargic, off-beat"
Style: Low Light\低光,low light photo of {prompt}. Ambient," moody, dramatic, shadowy, bright, cheerful, flat, clear"
Style: Underwater\水下,underwater photo of {prompt}. Aquatic," serene, dreamlike, floaty, land, hectic, realistic, heavy"
Style: Action\动作,action shot of {prompt}. Movement," energy, dynamic, intense, still, calm, static, gentle"
Style: Fashion\时尚,fashion shot of {prompt}. Trendy outfit," styled, runway-ready, chic, plain, unstyled, out of style, ordinary"
Style: Aerial\航拍,aerial shot of {prompt}. Birds-eye view," grand, adventurous, stunning, ground level, confined, cautious, underwhelming"
Style: Music\ 音乐,music-related shot of {prompt}. Playing an instrument," singing, energetic, passionate, quiet, uninterested, uninvolved, lackluster"
Style: Fine Art\美术,fine art photo of {prompt}. Conceptual," creative, artistic, aesthetic, commercial, literal, uncreative, unaesthetic"
Style: Cityscape\都市风景,cityscape shot with {prompt}. Urban," skyline, architectural, dynamic, rural, landscape, natural, static"
Style: Landscape\风景,landscape shot with {prompt}. Scenic," outdoors, grand, beautiful, indoor, close-up, confined, unattractive"
Style: Macro\宏观,macro shot of {prompt}. Extremely close-up," detailed, intricate, revealing, wide shot, undetailed, simple, concealing"
Style: Golden Hour\黄金时刻,golden hour shot of {prompt}. Warm light," sunset/sunrise, magical, serene, midday, harsh light, mundane, agitated"
Style: Blue Hour\蓝色时刻,blue hour shot of {prompt}. Cool light," twilight, peaceful, moody, midday, harsh light, chaotic, flat"
Style: Night\夜景,night shot of {prompt}. Dark," lit, moody, mysterious, daytime, bright, cheerful, clear"
Style: Reflection\ 反射,reflection shot of {prompt}. Mirror image," symmetry, creative, thoughtful, direct, asymmetrical, uncreative, thoughtless"
Style: Backlit\背光,backlit photo of {prompt}. Silhouette," dramatic, artistic, shadowy, frontlit, flat, unartistic, clear"
Style: Overhead\头顶式,overhead shot of {prompt}. Top-down view," unique perspective, revealing, low angle, ordinary perspective, concealing"
